kód obce,název obce,voliči v seznamu,vydané obálky,platné hlasy,ODS,ČSSD,KSČM,ANO 2011,SPD,Piráti,COS,Rado. Č.,STAN,Zelený,ROZUMNÍ,SSO,BPI,ODA,EU referendum,TOP 09,DB 2016,SPR,Křesťaní,ČSNS,REALIST,SPORT,DSSS,SPO
000000,Neznámá obec,580,309,308,18,"0,32",26,5,29,35,1,1,"0,32","8,44",0,"0,00",19,"6,16",2,"0,64","1,62",9,"2,92",0,"0,00",0,"0,00","9,41"
000000,Neznámá obec,187,88,88,3,"2,27",7,0,8,20,2,1,"1,13","7,95",0,"0,00",0,"0,00",1,"1,13","0,00",0,"0,00",0,"0,00",0,"0,00","9,09"
000000,Neznámá obec,92,58,57,10,"0,00",2,2,2,3,0,0,"0,00","3,50",0,"0,00",5,"8,77",0,"0,00","3,50",2,"3,50",1,"1,75",0,"0,00","3,50"
000000,Neznámá obec,454,287,287,29,"0,00",20,1,39,32,0,0,"0,00","6,96",1,"0,34",32,"11,14",5,"1,74","0,34",3,"1,04",0,"0,00",1,"0,34","13,58"
000000,Neznámá obec,119,105,105,16,"0,00",10,0,9,6,0,0,"0,00","9,52",0,"0,00",17,"16,19",3,"2,85","0,00",1,"0,95",0,"0,00",0,"0,00","8,57"
000000,Neznámá obec,1806,881,876,70,"0,11",60,15,61,105,1,0,"0,00","6,84",2,"0,22",39,"4,45",13,"1,48","1,71",15,"1,71",1,"0,11",0,"0,00","6,96"
000000,Neznámá obec,701,364,364,36,"0,27",26,0,43,43,1,0,"0,00","7,14",0,"0,00",6,"1,64",6,"1,64","0,00",7,"1,92",0,"0,00",0,"0,00","11,81"
000000,Neznámá obec,151,91,91,1,"0,00",10,1,11,11,0,0,"0,00","10,98",0,"0,00",2,"2,19",1,"1,09","1,09",0,"0,00",0,"0,00",0,"0,00","12,08"
000000,Neznámá obec,645,427,425,48,"0,00",29,3,49,54,0,0,"0,00","6,82",0,"0,00",29,"6,82",6,"1,41","0,70",11,"2,58",1,"0,23",0,"0,00","11,52"
000000,Neznámá obec,487,298,296,43,"0,33",16,3,40,27,1,0,"0,00","5,40",0,"0,00",17,"5,74",3,"1,01","1,01",1,"0,33",1,"0,33",0,"0,00","13,51"
